Symbol,Company Name
A,Agilent Technologies Inc. Common Stock
AA,Alcoa Corporation Common Stock 
AACB,Artius II Acquisition Inc. Class A Ordinary Shares
AACBR,Artius II Acquisition Inc. Rights
AACG,ATA Creativity Global American Depositary Shares
AACI,Armada Acquisition Corp. II Class A Ordinary Shares
AACIU,Armada Acquisition Corp. II Units
AACIW,Armada Acquisition Corp. II Warrant
AACT,Ares Acquisition Corporation II Class A Ordinary Shares
AAL,American Airlines Group Inc. Common Stock
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares
AAME,Atlantic American Corporation Common Stock
AAMI,Acadian Asset Management Inc. Common Stock
AAOI,Applied Optoelectronics Inc. Common Stock
AAON,AAON Inc. Common Stock
AAP,Advance Auto Parts Inc.
AAPG,Ascentage Pharma Group International American Depository Shares
AAPL,Apple Inc. Common Stock
AARD,Aardvark Therapeutics Inc. Common Stock
AAT,American Assets Trust Inc. Common Stock
AAUC,Allied Gold Corporation Common Shares
AB,AllianceBernstein Holding L.P.  Units
ABAT,American Battery Technology Company Common Stock
ABBV,AbbVie Inc. Common Stock
ABCB,Ameris Bancorp Common Stock
ABCL,AbCellera Biologics Inc. Common Shares
ABEO,Abeona Therapeutics Inc. Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,Asbury Automotive Group Inc Common Stock
ABL,Abacus Global Management Inc. Class A Common Stock
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028
ABLLW,Abacus Global Management Inc. Warrant
ABLV,Able View Global Inc. Class B Ordinary Shares
ABLVW,Able View Global Inc. Warrant
ABM,ABM Industries Incorporated Common Stock
ABNB,Airbnb Inc. Class A Common Stock
ABOS,Acumen Pharmaceuticals Inc. Common Stock
ABP,Abpro Holdings Inc Common Stock
ABR,Arbor Realty Trust Common Stock
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share
ABSI,Absci Corporation Common Stock
ABT,Abbott Laboratories Common Stock
ABTS,Abits Group Inc Ordinary Shares
ABUS,Arbutus Biopharma Corporation Common Stock
ABVC,ABVC BioPharma Inc. Common Stock
ABVE,Above Food Ingredients Inc. Common Stock
ABVEW,Above Food Ingredients Inc. Warrants
ABVX,Abivax SA American Depositary Shares
AC,Associated Capital Group Inc. Common Stock
ACA,Arcosa Inc. Common Stock 
ACAD,ACADIA Pharmaceuticals Inc. Common Stock
ACB,Aurora Cannabis Inc. Common Shares
ACCO,Acco Brands Corporation Common Stock
ACCS,ACCESS Newswire Inc. Common Stock
ACDC,ProFrac Holding Corp. Class A Common Stock
ACEL,Accel Entertainment Inc. 
ACET,Adicet Bio Inc. Common Stock 
ACFN,Acorn Energy Inc. Common Stock
ACGL,Arch Capital Group Ltd. Common Stock
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
ACHC,Acadia Healthcare Company Inc. Common Stock
ACHR,Archer Aviation Inc. Class A Common Stock
ACHV,Achieve Life Sciences Inc. Common Shares
ACI,Albertsons Companies Inc. Class A Common Stock
ACIC,American Coastal Insurance Corporation Common Stock
ACIU,AC Immune SA Common Stock
ACIW,ACI Worldwide Inc. Common Stock
ACLS,Axcelis Technologies Inc. Common Stock
ACLX,Arcellx Inc. Common Stock
ACM,AECOM Common Stock
ACMR,ACM Research Inc. Class A Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACNB,ACNB Corporation Common Stock
ACNT,Ascent Industries Co. Common Stock
ACOG,Alpha Cognition Inc. Common Stock
ACON,Aclarion Inc. Common Stock
ACONW,Aclarion Inc. Warrant
ACP,abrdn Income Credit Strategies Fund Common Shares
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
ACR,ACRES Commercial Realty Corp. Common Stock
ACRE,Ares Commercial Real Estate Corporation Common Stock
ACRS,Aclaris Therapeutics Inc. Common Stock
ACRV,Acrivon Therapeutics Inc. Common Stock
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock 
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock
ACT,Enact Holdings Inc. Common Stock
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock
ACTU,Actuate Therapeutics Inc. Common stock
ACU,Acme United Corporation. Common Stock
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ACVA,ACV Auctions Inc. Class A Common Stock
ACXP,Acurx Pharmaceuticals Inc. Common Stock
ADAG,Adagene Inc. American Depositary Shares
ADAP,Adaptimmune Therapeutics plc American Depositary Shares
ADBE,Adobe Inc. Common Stock
ADC,Agree Realty Corporation Common Stock
ADCT,ADC Therapeutics SA Common Shares
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares
ADEA,Adeia Inc. Common Stock
ADGM,Adagio Medical Holdings Inc Common Stock
ADI,Analog Devices Inc. Common Stock
ADIL,Adial Pharmaceuticals Inc Common Stock
ADM,Archer-Daniels-Midland Company Common Stock
ADMA,ADMA Biologics Inc Common Stock
ADN,Advent Technologies Holdings Inc. Class A Common Stock
ADNT,Adient plc Ordinary Shares 
ADNWW,Advent Technologies Holdings Inc. Warrant
ADP,Automatic Data Processing Inc. Common Stock
ADPT,Adaptive Biotechnologies Corporation Common Stock
ADSE,ADS-TEC ENERGY PLC Ordinary Shares
ADSEW,ADS-TEC ENERGY PLC Warrant
ADSK,Autodesk Inc. Common Stock
ADT,ADT Inc. Common Stock
ADTN,ADTRAN Holdings Inc. Common Stock
ADTX,Aditxt Inc. Common Stock
ADUR,Aduro Clean Technologies Inc. Common Stock
ADUS,Addus HomeCare Corporation Common Stock
ADV,Advantage Solutions Inc. Class A Common Stock
ADVB,Advanced Biomed Inc. Common Stock
ADVM,Adverum Biotechnologies Inc. Common Stock
ADVWW,Advantage Solutions Inc. Warrant
ADX,Adams Diversified Equity Fund Inc.
ADXN,Addex Therapeutics Ltd American Depositary Shares
AEBI,Aebi Schmidt Holding AG Common Stock 
AEE,Ameren Corporation Common Stock
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,Aegon Ltd. New York Registry Shares
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares
AEHR,Aehr Test Systems Common Stock
AEI,Alset Inc. Common Stock (TX)
AEIS,Advanced Energy Industries Inc. Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AEMD,Aethlon Medical Inc. Common Stock
AENT,Alliance Entertainment Holding Corporation Class A Common Stock
AENTW,Alliance Entertainment Holding Corporation Warrants
AEO,American Eagle Outfitters Inc. Common Stock
AEON,AEON Biopharma Inc. Class A Common Stock
AEP,American Electric Power Company Inc. Common Stock
AER,AerCap Holdings N.V. Ordinary Shares
AERT,Aeries Technology Inc. Class A Ordinary Share
AES,The AES Corporation Common Stock
AESI,Atlas Energy Solutions Inc. Common Stock
AEVA,Aeva Technologies Inc. Common Stock
AEVAW,Aeva Technologies Inc. Warrants
AEYE,AudioEye Inc. Common Stock
AFB,AllianceBernstein National Municipal Income Fund Inc
AFBI,Affinity Bancshares Inc. Common Stock (MD)
AFCG,Advanced Flower Capital Inc. Common Stock
AFG,American Financial Group Inc. Common Stock
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
AFJKR,Aimei Health Technology Co. Ltd Right
AFL,AFLAC Incorporated Common Stock
AFRI,Forafric Global PLC Ordinary Shares
AFRIW,Forafric Global PLC Warrants
AFRM,Affirm Holdings Inc. Class A Common Stock
AFYA,Afya Limited Class A Common Shares
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGAE,Allied Gaming & Entertainment Inc. Common Stock
AGCO,AGCO Corporation Common Stock
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest
AGEN,Agenus Inc. Common Stock
AGFY,Agrify Corporation Common Stock
AGH,Aureus Greenway Holdings Inc. Common Stock
AGI,Alamos Gold Inc. Class A Common Shares
AGIO,Agios Pharmaceuticals Inc. Common Stock
AGL,agilon health inc. Common Stock
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G
AGNC,AGNC Investment Corp. Common Stock
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
AGO,Assured Guaranty Ltd. Common Stock
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares
AGRO,Adecoagro S.A. Common Shares
AGX,Argan Inc. Common Stock
AGYS,Agilysys Inc. Common Stock (DE)
AHCO,AdaptHealth Corp. Common Stock
AHG,Akso Health Group ADS
AHH,Armada Hoffler Properties Inc. Common Stock
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock
AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares
AHL^F,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share
AHR,American Healthcare REIT Inc. Common Stock
AHT,Ashford Hospitality Trust Inc Common Stock
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
AI,C3.ai Inc. Class A Common Stock
AIFF,Firefly Neuroscience Inc. Common Stock
AIFU,AIFU Inc. Class A Ordinary Share
AIG,American International Group Inc. New Common Stock
AIHS,Senmiao Technology Limited Common Stock
AII,American Integrity Insurance Group Inc. Common Stock
AIM,AIM ImmunoTech Inc. Common Stock
AIMD,Ainos Inc. Common Stock
AIMDW,Ainos Inc. Warrants
AIN,Albany International Corporation Common Stock
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIOT,PowerFleet Inc. Common Stock
AIP,Arteris Inc. Common Stock
AIR,AAR Corp. Common Stock
AIRE,reAlpha Tech Corp. Common Stock
AIRG,Airgain Inc. Common Stock
AIRI,Air Industries Group Common Stock
AIRJ,AirJoule Technologies Corporation Class A Common Stock
AIRJW,AirJoule Technologies Corporation Warrant
AIRO,AIRO Group Holdings Inc. Common Stock
AIRS,AirSculpt Technologies Inc. Common Stock
AIRT,Air T Inc. Common Stock
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities
AISP,Airship AI Holdings Inc. Class A Common Stock
AISPW,Airship AI Holdings Inc. Warrants
AIT,Applied Industrial Technologies Inc. Common Stock
AIV,Apartment Investment and Management Company Common Stock
AIXI,XIAO-I Corporation American Depositary Shares
AIZ,Assurant Inc. Common Stock
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AJG,Arthur J. Gallagher & Co. Common Stock
AKA,a.k.a. Brands Holding Corp. Common Stock
AKAM,Akamai Technologies Inc. Common Stock
AKAN,Akanda Corp. Common Shares
AKBA,Akebia Therapeutics Inc. Common Stock
AKO/A,Embotelladora Andina S.A.
AKO/B,Embotelladora Andina S.A.
AKR,Acadia Realty Trust Common Stock
AKRO,Akero Therapeutics Inc. Common Stock
AKTX,Akari Therapeutics plc ADS
AL,Air Lease Corporation Class A Common Stock
ALAB,Astera Labs Inc. Common Stock
ALAR,Alarum Technologies Ltd. American Depositary Share
ALB,Albemarle Corporation Common Stock
ALBT,Avalon GloboCare Corp. Common Stock
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock
ALC,Alcon Inc. Ordinary Shares
ALCO,Alico Inc. Common Stock
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares
ALDF,Aldel Financial II Inc. Class A Ordinary Shares
ALDFW,Aldel Financial II Inc. Warrants
ALDX,Aldeyra Therapeutics Inc. Common Stock
ALE,Allete Inc.
ALEC,Alector Inc. Common Stock
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALF,Centurion Acquisition Corp. Class A Ordinary Shares
ALFUW,Centurion Acquisition Corp. Warrant
ALG,Alamo Group Inc. Common Stock
ALGM,Allegro MicroSystems Inc. Common Stock
ALGN,Align Technology Inc. Common Stock
ALGS,Aligos Therapeutics Inc. Common Stock
ALGT,Allegiant Travel Company Common Stock
ALHC,Alignment Healthcare Inc. Common Stock
ALIT,Alight Inc. Class A Common Stock
ALK,Alaska Air Group Inc. Common Stock
ALKS,Alkermes plc Ordinary Shares
ALKT,Alkami Technology Inc. Common Stock
ALL,Allstate Corporation (The) Common Stock
ALLE,Allegion plc Ordinary Shares
ALLO,Allogene Therapeutics Inc. Common Stock
ALLR,Allarity Therapeutics Inc. Common Stock
ALLT,Allot Ltd. Ordinary Shares
ALLY,Ally Financial Inc. Common Stock
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J
ALM,Almonty Industries Inc. Common Shares
ALMS,Alumis Inc. Common Stock
ALMU,Aeluma Inc. Common Stock
ALNT,Allient Inc. Common Stock
ALNY,Alnylam Pharmaceuticals Inc. Common Stock
ALOT,AstroNova Inc. Common Stock
ALRM,Alarm.com Holdings Inc. Common Stock
ALRS,Alerus Financial Corporation Common Stock
ALSN,Allison Transmission Holdings Inc. Common Stock
ALT,Altimmune Inc. Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTI,AlTi Global Inc. Class A Common Stock
ALTO,Alto Ingredients Inc. Common Stock
ALTS,ALT5 Sigma Corporation Common Stock
ALUR,Allurion Technologies Inc. Common Stock
ALV,Autoliv Inc. Common Stock
ALVO,Alvotech Ordinary Shares
ALVOW,Alvotech Warrant
ALX,Alexander's Inc. Common Stock
ALXO,ALX Oncology Holdings Inc. Common Stock
ALZN,Alzamend Neuro Inc. Common Stock
AM,Antero Midstream Corporation Common Stock
AMAL,Amalgamated Financial Corp. Common Stock (DE)
AMAT,Applied Materials Inc. Common Stock
AMBA,Ambarella Inc. Ordinary Shares
AMBC,Ambac Financial Group Inc. Common Stock
AMBI,Ambipar Emergency Response Class A Ordinary Shares
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares)
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMBQ,Ambiq Micro Inc. Common Stock
AMBR,Amber International Holding Limited American Depositary Shares
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCR,Amcor plc Ordinary Shares
AMCX,AMC Networks Inc. Class A Common Stock
AMD,Advanced Micro Devices Inc. Common Stock
AME,AMETEK Inc.
AMED,Amedisys Inc Common Stock
AMG,Affiliated Managers Group Inc. Common Stock
AMGN,Amgen Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
AMIX,Autonomix Medical Inc. Common Stock
AMKR,Amkor Technology Inc. Common Stock
AMLX,Amylyx Pharmaceuticals Inc. Common Stock
AMN,AMN Healthcare Services Inc
AMOD,Alpha Modus Holdings Inc. Class A Common Stock
AMODW,Alpha Modus Holdings Inc. Warrant
AMP,Ameriprise Financial Inc. Common Stock
AMPG,Amplitech Group Inc. Common Stock
AMPGW,Amplitech Group Inc. Warrants
AMPH,Amphastar Pharmaceuticals Inc. Common Stock
AMPL,Amplitude Inc. Class A Common Stock
AMPX,Amprius Technologies Inc. Common Stock
AMPY,Amplify Energy Corp. Common Stock
